iter	Passed	Remaining
0	160	15874
1	171	8421
2	183	5922
3	197	4747
4	213	4059
5	239	3745
6	266	3545
7	285	3277
8	311	3147
9	337	3035
10	383	3102
11	426	3130
12	472	3160
13	496	3048
14	513	2912
15	560	2942
16	584	2851
17	628	2861
18	672	2868
19	707	2828
20	753	2835
21	787	2790
22	840	2815
23	889	2815
24	934	2803
25	980	2791
26	1031	2788
27	1108	2849
28	1175	2878
29	1266	2954
30	1349	3004
31	1388	2951
32	1505	3055
33	1579	3065
34	1669	3100
35	1731	3077
36	1785	3039
37	1845	3011
38	1898	2970
39	1948	2922
40	2012	2896
41	2077	2868
42	2134	2828
43	2186	2782
44	2244	2743
45	2297	2696
46	2348	2648
47	2407	2607
48	2475	2577
49	2534	2534
50	2589	2488
51	2645	2442
52	2718	2410
53	2768	2357
54	2847	2329
55	2919	2293
56	2998	2261
57	3054	2211
58	3111	2161
59	3164	2109
60	3232	2066
61	3302	2024
62	3376	1983
63	3430	1929
64	3496	1882
65	3549	1828
66	3611	1778
67	3667	1725
68	3741	1681
69	3791	1625
70	3851	1573
71	3906	1519
72	3973	1469
73	4038	1418
74	4095	1365
75	4156	1312
76	4218	1260
77	4274	1205
78	4333	1151
79	4386	1096
80	4447	1043
81	4504	988
82	4561	934
83	4614	878
84	4667	823
85	4725	769
86	4779	714
87	4831	658
88	4887	604
89	4937	548
90	4987	493
91	5044	438
92	5091	383
93	5139	328
94	5188	273
95	5234	218
96	5284	163
97	5330	108
98	5374	54
99	5421	0
