iter	Passed	Remaining
0	152	15135
1	163	7995
2	173	5593
3	185	4454
4	200	3807
5	220	3446
6	239	3181
7	254	2924
8	278	2817
9	301	2714
10	337	2730
11	373	2736
12	415	2783
13	447	2746
14	470	2665
15	515	2707
16	533	2605
17	573	2613
18	611	2606
19	640	2561
20	677	2549
21	703	2494
22	758	2540
23	821	2602
24	867	2601
25	908	2587
26	970	2624
27	1042	2681
28	1089	2667
29	1183	2760
30	1263	2811
31	1291	2744
32	1366	2774
33	1429	2774
34	1492	2772
35	1559	2772
36	1642	2797
37	1706	2784
38	1755	2745
39	1805	2708
40	1862	2679
41	1908	2636
42	1965	2605
43	2012	2561
44	2068	2528
45	2125	2494
46	2174	2452
47	2223	2408
48	2272	2365
49	2321	2321
50	2366	2273
51	2420	2234
52	2466	2186
53	2513	2141
54	2574	2106
55	2626	2063
56	2674	2017
57	2732	1979
58	2793	1941
59	2855	1903
60	2895	1851
61	2950	1808
62	2998	1761
63	3061	1722
64	3100	1669
65	3153	1624
66	3198	1575
67	3244	1526
68	3294	1480
69	3334	1428
70	3378	1379
71	3422	1331
72	3469	1283
73	3518	1236
74	3562	1187
75	3619	1142
76	3661	1093
77	3716	1048
78	3761	999
79	3809	952
80	3856	904
81	3903	856
82	3949	808
83	3997	761
84	4044	713
85	4087	665
86	4135	617
87	4178	569
88	4230	522
89	4268	474
90	4324	427
91	4373	380
92	4422	332
93	4475	285
94	4513	237
95	4569	190
96	4611	142
97	4663	95
98	4705	47
99	4752	0
